年	月	管区	都道府県	発生件数（速報値）	死者数（確定値）	負傷者数（速報値）
2022	5	関東	計	7895	60	9569
2022	5	中部	富山	124	2	136
2022	5	中部	石川	157	3	186
2022	5	中部	福井	62	2	65
2022	5	中部	岐阜	220	8	267
2022	5	中部	愛知	1863	15	2201
2022	5	中部	三重	240	0	314
2022	5	中部	計	2666	30	3169
2022	5	近畿	滋賀	224	4	285
2022	5	近畿	京都	290	4	359
2022	5	近畿	大阪	2092	9	2472
2022	5	近畿	兵庫	1244	9	1493
2022	5	近畿	奈良	220	3	256
2022	5	近畿	和歌山	117	1	146
2022	5	近畿	計	4187	30	5011
2022	5	中国	鳥取	56	2	67
2022	5	中国	島根	67	1	76
2022	5	中国	岡山	350	7	397
2022	5	中国	広島	354	8	423
2022	5	中国	山口	201	4	241
2022	5	中国	計	1028	22	1204
2022	5	四国	徳島	184	3	213
2022	5	四国	香川	287	2	340
2022	5	四国	愛媛	156	2	174
2022	5	四国	高知	74	0	82
2022	5	四国	計	701	7	809
2022	5	九州	福岡	1616	5	2034
2022	5	九州	佐賀	258	1	338
2022	5	九州	長崎	189	1	241
2022	5	九州	熊本	233	4	283
2022	5	九州	大分	195	6	246
2022	5	九州	宮崎	296	1	342
2022	5	九州	鹿児島	253	2	296
2022	5	九州	沖縄	206	3	232
2022	5	九州	計	3246	23	4012
2022	5	合計	計	23987	214	28630
2022	4	北海道	札幌	458	7	532
2022	4	北海道	函館	49	0	62
2022	4	北海道	旭川	32	1	38
2022	4	北海道	釧路	38	1	43
2022	4	北海道	北見	15	1	18
2022	4	北海道	計	592	10	693
2022	4	東北	青森	145	2	175
2022	4	東北	岩手	98	2	112
2022	4	東北	宮城	308	3	378
2022	4	東北	秋田	74	3	85
2022	4	東北	山形	202	0	221
2022	4	東北	福島	219	1	252
2022	4	東北	計	1046	11	1223
2022	4	東京	計	2539	12	2799
2022	4	関東	茨城	476	6	586
2022	4	関東	栃木	306	6	356
2022	4	関東	群馬	792	2	992
2022	4	関東	埼玉	1303	9	1548
2022	4	関東	千葉	1070	12	1245
2022	4	関東	神奈川	1785	4	2081
2022	4	関東	新潟	207	3	234
2022	4	関東	山梨	159	4	197
2022	4	関東	長野	352	4	404
2022	4	関東	静岡	1454	4	1853
2022	4	関東	計	7904	54	9496
2022	4	中部	富山	153	3	171
2022	4	中部	石川	165	0	196
2022	4	中部	福井	54	3	61
2022	4	中部	岐阜	193	6	247
2022	4	中部	愛知	1895	9	2279
2022	4	中部	三重	233	3	279
2022	4	中部	計	2693	24	3233
2022	4	近畿	滋賀	169	3	207
2022	4	近畿	京都	333	3	375
2022	4	近畿	大阪	2026	16	2340
2022	4	近畿	兵庫	1263	10	1545
2022	4	近畿	奈良	183	2	221
2022	4	近畿	和歌山	108	4	121
2022	4	近畿	計	4082	38	4809
2022	4	中国	鳥取	42	0	44
2022	4	中国	島根	52	2	52
2022	4	中国	岡山	343	6	391
2022	4	中国	広島	348	4	419
2022	4	中国	山口	174	2	201
2022	4	中国	計	959	14	1107
2022	4	四国	徳島	156	0	189
2022	4	四国	香川	243	2	304
2022	4	四国	愛媛	168	3	190
2022	4	四国	高知	69	2	80
2022	4	四国	計	636	7	763
2022	4	九州	福岡	1606	1	2032
2022	4	九州	佐賀	201	1	250
2022	4	九州	長崎	196	3	249
2022	4	九州	熊本	234	2	295
2022	4	九州	大分	194	2	240
2022	4	九州	宮崎	310	4	345
2022	4	九州	鹿児島	210	2	233
2022	4	九州	沖縄	186	6	210
2022	4	九州	計	3137	21	3854
2022	4	合計	計	23588	191	27977
2022	3	北海道	札幌	591	1	680
2022	3	北海道	函館	41	1	51
2022	3	北海道	旭川	56	0	68
2022	3	北海道	釧路	51	0	59
2022	3	北海道	北見	21	0	31
2022	3	北海道	計	760	2	889
2022	3	東北	青森	157	6	183
2022	3	東北	岩手	118	1	140
2022	3	東北	宮城	341	5	416
2022	3	東北	秋田	83	3	94
2022	3	東北	山形	223	2	270
2022	3	東北	福島	219	1	252
2022	3	東北	計	1141	18	1355
2022	3	東京	計	2500	6	2751
2022	3	関東	茨城	502	5	610
2022	3	関東	栃木	313	2	371
2022	3	関東	群馬	765	4	946
2022	3	関東	埼玉	1433	11	1741
2022	3	関東	千葉	1108	10	1332
2022	3	関東	神奈川	1793	7	2041
2022	3	関東	新潟	243	3	294
2022	3	関東	山梨	181	3	216
2022	3	関東	長野	379	5	451
2022	3	関東	静岡	1470	5	1879
2022	3	関東	計	8187	55	9881
2022	3	中部	富山	146	4	162
2022	3	中部	石川	174	1	197
2022	3	中部	福井	85	4	93
2022	3	中部	岐阜	239	6	283
2022	3	中部	愛知	2027	13	2355
2022	3	中部	三重	244	4	309
2022	3	中部	計	2915	32	3399
2022	3	近畿	滋賀	206	4	261
2022	3	近畿	京都	314	3	352
2022	3	近畿	大阪	2141	16	2452
2022	3	近畿	兵庫	1421	13	1617
2022	3	近畿	奈良	253	1	298
2022	3	近畿	和歌山	104	1	121
2022	3	近畿	計	4439	38	5101
2022	3	中国	鳥取	53	2	60
2022	3	中国	島根	52	4	52
2022	3	中国	岡山	394	8	448
2022	3	中国	広島	361	5	413
2022	3	中国	山口	201	2	235
2022	3	中国	計	1061	21	1208
2022	3	四国	徳島	148	0	178
2022	3	四国	香川	263	5	312
2022	3	四国	愛媛	174	3	193
2022	3	四国	高知	72	2	75
2022	3	四国	計	657	10	758
2022	3	九州	福岡	1624	7	2062
2022	3	九州	佐賀	266	2	332
2022	3	九州	長崎	225	1	285
2022	3	九州	熊本	251	4	309
2022	3	九州	大分	198	1	256
2022	3	九州	宮崎	302	0	339
2022	3	九州	鹿児島	247	3	277
2022	3	九州	沖縄	247	3	283
2022	3	九州	計	3360	21	4143
2022	3	合計	計	25020	203	29485
2022	2	北海道	札幌	492	7	583
2022	2	北海道	函館	45	1	53
2022	2	北海道	旭川	63	0	79
2022	2	北海道	釧路	45	0	51
2022	2	北海道	北見	20	0	22
2022	2	北海道	計	665	8	788
2022	2	東北	青森	187	2	216
2022	2	東北	岩手	75	3	89
2022	2	東北	宮城	279	0	311
2022	2	東北	秋田	106	0	120
2022	2	東北	山形	333	2	378
2022	2	東北	福島	220	6	253
2022	2	東北	計	1200	13	1367
2022	2	東京	計	2059	10	2223
2022	2	関東	茨城	460	4	565
2022	2	関東	栃木	270	4	328
2022	2	関東	群馬	724	5	856
2022	2	関東	埼玉	1208	10	1397
2022	2	関東	千葉	913	8	1078
2022	2	関東	神奈川	1466	8	1660
2022	2	関東	新潟	213	2	244
2022	2	関東	山梨	128	1	151
2022	2	関東	長野	337	3	391
2022	2	関東	静岡	1272	4	1539
2022	2	関東	計	6991	49	8209
2022	2	中部	富山	162	4	177
2022	2	中部	石川	139	3	160
2022	2	中部	福井	78	2	79
2022	2	中部	岐阜	226	3	265
2022	2	中部	愛知	1633	8	1891
2022	2	中部	三重	225	1	278
2022	2	中部	計	2463	21	2850
2022	2	近畿	滋賀	185	2	229
2022	2	近畿	京都	308	4	347
2022	2	近畿	大阪	1732	8	1988
2022	2	近畿	兵庫	1206	4	1398
2022	2	近畿	奈良	189	5	207
2022	2	近畿	和歌山	99	1	113
2022	2	近畿	計	3719	24	4282
2022	2	中国	鳥取	39	1	40
2022	2	中国	島根	59	1	62
2022	2	中国	岡山	273	5	303
2022	2	中国	広島	286	3	340
2022	2	中国	山口	166	1	194
2022	2	中国	計	823	11	939
2022	2	四国	徳島	141	2	164
2022	2	四国	香川	209	3	243
2022	2	四国	愛媛	147	4	158
2022	2	四国	高知	63	6	59
2022	2	四国	計	560	15	624
2022	2	九州	福岡	1327	6	1648
2022	2	九州	佐賀	208	1	256
2022	2	九州	長崎	177	2	206
2022	2	九州	熊本	225	7	282
2022	2	九州	大分	163	2	197
2022	2	九州	宮崎	227	2	249
2022	2	九州	鹿児島	207	2	221
2022	2	九州	沖縄	177	3	206
2022	2	九州	計	2711	25	3265
2022	2	合計	計	21191	176	24547
2022	1	北海道	札幌	560	3	655
2022	1	北海道	函館	42	1	53
2022	1	北海道	旭川	67	3	86
2022	1	北海道	釧路	55	0	58
2022	1	北海道	北見	25	0	30
2022	1	北海道	計	749	7	882
2022	1	東北	青森	225	2	284
2022	1	東北	岩手	129	1	177
2022	1	東北	宮城	404	3	508
2022	1	東北	秋田	112	0	147
2022	1	東北	山形	375	0	431
2022	1	東北	福島	206	3	237
2022	1	東北	計	1451	9	1784
2022	1	東京	計	2388	10	2615
2022	1	関東	茨城	488	7	597
2022	1	関東	栃木	296	6	340
2022	1	関東	群馬	759	4	926
2022	1	関東	埼玉	1176	7	1424
2022	1	関東	千葉	1029	9	1252
2022	1	関東	神奈川	1581	13	1782
2022	1	関東	新潟	221	3	274
2022	1	関東	山梨	151	3	184
2022	1	関東	長野	424	2	503
2022	1	関東	静岡	1572	6	1979
2022	1	関東	計	7697	60	9261
2022	1	中部	富山	176	1	198
2022	1	中部	石川	158	2	171
2022	1	中部	福井	75	0	95
2022	1	中部	岐阜	225	3	264
2022	1	中部	愛知	1834	13	2149
2022	1	中部	三重	273	7	348
2022	1	中部	計	2741	26	3225
2022	1	近畿	滋賀	197	3	250
2022	1	近畿	京都	315	5	373
2022	1	近畿	大阪	1913	5	2210
2022	1	近畿	兵庫	1311	7	1549
2022	1	近畿	奈良	222	3	264
2022	1	近畿	和歌山	105	1	125
2022	1	近畿	計	4063	24	4771
2022	1	中国	鳥取	49	1	60
2022	1	中国	島根	65	1	73
2022	1	中国	岡山	398	7	441
2022	1	中国	広島	282	3	336
2022	1	中国	山口	181	4	208
2022	1	中国	計	975	16	1118
2022	1	四国	徳島	163	4	200
2022	1	四国	香川	261	2	308
2022	1	四国	愛媛	179	5	190
2022	1	四国	高知	82	0	87
2022	1	四国	計	685	11	785
2022	1	九州	福岡	1487	4	1829
2022	1	九州	佐賀	297	3	382
2022	1	九州	長崎	227	1	281
2022	1	九州	熊本	271	1	323
2022	1	九州	大分	133	2	152
2022	1	九州	宮崎	279	5	313
2022	1	九州	鹿児島	262	3	295
2022	1	九州	沖縄	154	1	179
2022	1	九州	計	3110	20	3754
2022	1	合計	計	23859	183	28195
2021	12	北海道	札幌	647	4	749
2021	12	北海道	函館	90	1	111
2021	12	北海道	旭川	74	1	90
2021	12	北海道	釧路	67	3	66
2021	12	北海道	北見	17	1	17
2021	12	北海道	計	895	10	1033
2021	12	東北	青森	293	3	349
2021	12	東北	岩手	182	5	207
2021	12	東北	宮城	465	2	562
2021	12	東北	秋田	138	2	177
2021	12	東北	山形	348	4	427
2021	12	東北	福島	315	4	357
2021	12	東北	計	1741	20	2079
2021	12	東京	計	2967	21	3413
2021	12	関東	茨城	647	13	804
2021	12	関東	栃木	408	6	474
2021	12	関東	群馬	1042	5	1282
2021	12	関東	埼玉	1956	13	2315
2021	12	関東	千葉	1428	14	1646
2021	12	関東	神奈川	2180	16	2509
2021	12	関東	新潟	330	3	372
2021	12	関東	山梨	220	2	262
2021	12	関東	長野	483	4	565
2021	12	関東	静岡	1916	5	2404
2021	12	関東	計	10610	81	12633
2021	12	中部	富山	244	1	289
2021	12	中部	石川	244	5	269
2021	12	中部	福井	86	1	102
2021	12	中部	岐阜	298	6	369
2021	12	中部	愛知	2520	11	2967
2021	12	中部	三重	269	9	317
2021	12	中部	計	3661	33	4313
2021	12	近畿	滋賀	261	5	318
2021	12	近畿	京都	435	5	497
2021	12	近畿	大阪	2822	16	3331
2021	12	近畿	兵庫	1548	15	1876
2021	12	近畿	奈良	304	7	354
2021	12	近畿	和歌山	156	2	169
2021	12	近畿	計	5526	50	6545
2021	12	中国	鳥取	63	1	75
2021	12	中国	島根	82	1	97
2021	12	中国	岡山	431	7	494
2021	12	中国	広島	626	10	731
2021	12	中国	山口	239	5	295
2021	12	中国	計	1441	24	1692
2021	12	四国	徳島	215	2	248
2021	12	四国	香川	330	3	384
2021	12	四国	愛媛	238	5	261
2021	12	四国	高知	112	3	124
2021	12	四国	計	895	13	1017
2021	12	九州	福岡	1941	7	2717
2021	12	九州	佐賀	327	2	437
2021	12	九州	長崎	295	2	376
2021	12	九州	熊本	339	4	426
2021	12	九州	大分	293	3	371
2021	12	九州	宮崎	532	7	617
2021	12	九州	鹿児島	340	4	398
2021	12	九州	沖縄	393	3	509
2021	12	九州	計	4460	32	5851
2021	12	合計	計	32196	284	38576
2021	11	北海道	札幌	523	8	604
2021	11	北海道	函館	55	5	64
2021	11	北海道	旭川	63	1	69
2021	11	北海道	釧路	66	0	78
2021	11	北海道	北見	29	1	30
2021	11	北海道	計	736	15	845
2021	11	東北	青森	247	7	280
2021	11	東北	岩手	164	4	183
2021	11	東北	宮城	445	5	535
2021	11	東北	秋田	121	1	137
2021	11	東北	山形	300	1	373
2021	11	東北	福島	304	5	342
2021	11	東北	計	1581	23	1850
2021	11	東京	計	2556	12	2838
2021	11	関東	茨城	559	4	699
2021	11	関東	栃木	420	5	483
2021	11	関東	群馬	1008	1	1259
2021	11	関東	埼玉	1551	9	1821
2021	11	関東	千葉	1323	13	1556
2021	11	関東	神奈川	2040	14	2370
2021	11	関東	新潟	276	5	309
2021	11	関東	山梨	184	3	228
2021	11	関東	長野	459	6	548
2021	11	関東	静岡	1756	12	2143
2021	11	関東	計	9576	72	11416
2021	11	中部	富山	179	0	208
2021	11	中部	石川	184	4	203
2021	11	中部	福井	106	6	113
2021	11	中部	岐阜	243	5	289
2021	11	中部	愛知	2251	19	2679
2021	11	中部	三重	239	5	298
2021	11	中部	計	3202	39	3790
2021	11	近畿	滋賀	301	2	368
2021	11	近畿	京都	336	4	383
2021	11	近畿	大阪	2254	9	2612
2021	11	近畿	兵庫	1554	11	1830
2021	11	近畿	奈良	253	2	302
2021	11	近畿	和歌山	152	2	173
2021	11	近畿	計	4850	30	5668
2021	11	中国	鳥取	68	4	75
2021	11	中国	島根	76	1	83
2021	11	中国	岡山	426	5	490
2021	11	中国	広島	413	1	501
2021	11	中国	山口	224	3	267
2021	11	中国	計	1207	14	1416
2021	11	四国	徳島	212	2	251
2021	11	四国	香川	292	1	364
2021	11	四国	愛媛	216	8	231
2021	11	四国	高知	91	0	95
2021	11	四国	計	811	11	941
2021	11	九州	福岡	1860	10	2355
2021	11	九州	佐賀	330	2	442
2021	11	九州	長崎	260	2	319
2021	11	九州	熊本	292	4	354
2021	11	九州	大分	222	6	256
2021	11	九州	宮崎	361	4	401
2021	11	九州	鹿児島	306	5	332
2021	11	九州	沖縄	226	2	253
2021	11	九州	計	3857	35	4712
2021	11	合計	計	28376	251	33476
2021	10	北海道	札幌	527	6	586
2021	10	北海道	函館	53	2	57
2021	10	北海道	旭川	55	2	71
2021	10	北海道	釧路	51	2	56
2021	10	北海道	北見	23	0	25
2021	10	北海道	計	709	12	795
2021	10	東北	青森	216	4	246
2021	10	東北	岩手	144	6	163
2021	10	東北	宮城	427	2	560
2021	10	東北	秋田	127	2	136
2021	10	東北	山形	247	2	296
2021	10	東北	福島	258	7	297
2021	10	東北	計	1419	23	1698
2021	10	東京	計	2622	9	2936
2021	10	関東	茨城	518	7	616
2021	10	関東	栃木	345	2	414
2021	10	関東	群馬	890	2	1108
2021	10	関東	埼玉	1418	12	1702
2021	10	関東	千葉	1220	11	1464
2021	10	関東	神奈川	1934	16	2250
2021	10	関東	新潟	248	5	276
2021	10	関東	山梨	198	4	241
2021	10	関東	長野	476	5	554
2021	10	関東	静岡	1726	9	2167
2021	10	関東	計	8973	73	10792
2021	10	中部	富山	175	7	200
2021	10	中部	石川	189	5	218
2021	10	中部	福井	78	5	83
2021	10	中部	岐阜	255	7	311
2021	10	中部	愛知	2210	11	2585
2021	10	中部	三重	224	12	266
2021	10	中部	計	3131	47	3663
2021	10	近畿	滋賀	284	1	367
2021	10	近畿	京都	299	9	342
2021	10	近畿	大阪	2195	13	2547
2021	10	近畿	兵庫	1542	11	1838
2021	10	近畿	奈良	244	6	293
2021	10	近畿	和歌山	127	2	150
2021	10	近畿	計	4691	42	5537
2021	10	中国	鳥取	53	2	57
2021	10	中国	島根	64	1	70
2021	10	中国	岡山	414	9	451
2021	10	中国	広島	359	9	415
2021	10	中国	山口	222	4	255
2021	10	中国	計	1112	25	1248
2021	10	四国	徳島	182	3	214
2021	10	四国	香川	268	3	322
2021	10	四国	愛媛	192	5	211
2021	10	四国	高知	91	0	105
2021	10	四国	計	733	11	852
2021	10	九州	福岡	1924	8	2338
2021	10	九州	佐賀	322	2	432
2021	10	九州	長崎	242	4	309
2021	10	九州	熊本	270	7	320
2021	10	九州	大分	233	3	277
2021	10	九州	宮崎	335	2	373
2021	10	九州	鹿児島	281	4	324
2021	10	九州	沖縄	239	1	278
2021	10	九州	計	3846	31	4651
2021	10	合計	計	27236	273	32172
2021	9	北海道	札幌	486	3	565
2021	9	北海道	函館	48	0	57
2021	9	北海道	旭川	48	1	59
2021	9	北海道	釧路	51	1	56
2021	9	北海道	北見	25	0	36
2021	9	北海道	計	658	5	773
2021	9	東北	青森	186	0	224
2021	9	東北	岩手	135	4	154
2021	9	東北	宮城	266	3	305
2021	9	東北	秋田	106	3	119
2021	9	東北	山形	234	2	279
2021	9	東北	福島	225	4	262
2021	9	東北	計	1152	16	1343
2021	9	東京	計	2041	10	2312
2021	9	関東	茨城	423	7	519
2021	9	関東	栃木	312	4	350
2021	9	関東	群馬	712	3	880
2021	9	関東	埼玉	1218	8	1465
2021	9	関東	千葉	1049	11	1264
2021	9	関東	神奈川	1549	17	1806
2021	9	関東	新潟	209	3	231
2021	9	関東	山梨	157	3	188
2021	9	関東	長野	376	4	450
2021	9	関東	静岡	1381	9	1724
2021	9	関東	計	7386	69	8877
2021	9	中部	富山	151	2	172
2021	9	中部	石川	155	1	192
2021	9	中部	福井	65	1	73
2021	9	中部	岐阜	197	1	275
2021	9	中部	愛知	1775	8	2103
2021	9	中部	三重	203	4	255
2021	9	中部	計	2546	17	3070
2021	9	近畿	滋賀	216	5	264
2021	9	近畿	京都	287	2	343
2021	9	近畿	大阪	2105	8	2453
2021	9	近畿	兵庫	1357	9	1631
2021	9	近畿	奈良	228	7	264
2021	9	近畿	和歌山	105	3	131
2021	9	近畿	計	4298	34	5086
2021	9	中国	鳥取	39	2	46
2021	9	中国	島根	69	2	76
2021	9	中国	岡山	339	6	389
2021	9	中国	広島	366	6	446
2021	9	中国	山口	185	1	225
2021	9	中国	計	998	17	1182
2021	9	四国	徳島	173	3	200
2021	9	四国	香川	248	3	287
2021	9	四国	愛媛	185	3	207
2021	9	四国	高知	67	3	70
2021	9	四国	計	673	12	764
2021	9	九州	福岡	1579	12	2032
2021	9	九州	佐賀	274	2	367
2021	9	九州	長崎	196	2	235
2021	9	九州	熊本	226	0	305
2021	9	九州	大分	182	3	212
2021	9	九州	宮崎	321	5	366
2021	9	九州	鹿児島	252	2	293
2021	9	九州	沖縄	198	1	224
2021	9	九州	計	3228	27	4034
2021	9	合計	計	22980	207	27441
2021	8	北海道	札幌	562	5	635
2021	8	北海道	函館	50	1	55
2021	8	北海道	旭川	48	4	66
2021	8	北海道	釧路	56	1	70
2021	8	北海道	北見	23	1	26
2021	8	北海道	計	739	12	852
2021	8	東北	青森	169	0	215
2021	8	東北	岩手	105	3	134
2021	8	東北	宮城	329	5	396
2021	8	東北	秋田	104	1	127
2021	8	東北	山形	242	1	277
2021	8	東北	福島	204	5	239
2021	8	東北	計	1153	15	1388
2021	8	東京	計	2037	13	2296
2021	8	関東	茨城	468	12	598
2021	8	関東	栃木	309	5	382
2021	8	関東	群馬	728	6	944
2021	8	関東	埼玉	1275	6	1593
2021	8	関東	千葉	995	4	1244
2021	8	関東	神奈川	1628	10	1948
2021	8	関東	新潟	198	4	227
2021	8	関東	山梨	160	0	204
2021	8	関東	長野	399	2	505
2021	8	関東	静岡	1553	10	2021
2021	8	関東	計	7713	59	9666
2021	8	中部	富山	151	2	171
2021	8	中部	石川	131	1	145
2021	8	中部	福井	78	2	95
2021	8	中部	岐阜	238	6	289
2021	8	中部	愛知	1855	4	2244
2021	8	中部	三重	203	4	244
2021	8	中部	計	2656	19	3188
2021	8	近畿	滋賀	219	1	280
2021	8	近畿	京都	312	2	365
2021	8	近畿	大阪	2082	10	2505
2021	8	近畿	兵庫	1317	7	1561
2021	8	近畿	奈良	227	3	283
2021	8	近畿	和歌山	115	4	146
2021	8	近畿	計	4272	27	5140
2021	8	中国	鳥取	44	0	49
2021	8	中国	島根	65	0	76
2021	8	中国	岡山	421	3	466
2021	8	中国	広島	375	4	457
2021	8	中国	山口	201	2	252
2021	8	中国	計	1106	9	1300
2021	8	四国	徳島	171	4	194
2021	8	四国	香川	282	4	350
2021	8	四国	愛媛	167	3	184
2021	8	四国	高知	86	0	92
2021	8	四国	計	706	11	820
2021	8	九州	福岡	1477	14	1959
2021	8	九州	佐賀	276	1	350
2021	8	九州	長崎	236	1	302
2021	8	九州	熊本	292	1	382
2021	8	九州	大分	187	1	219
2021	8	九州	宮崎	423	3	491
2021	8	九州	鹿児島	302	6	350
2021	8	九州	沖縄	206	2	238
2021	8	九州	計	3399	29	4291
2021	8	合計	計	23781	194	28941
2021	7	北海道	札幌	528	7	611
2021	7	北海道	函館	56	0	69
2021	7	北海道	旭川	59	2	67
2021	7	北海道	釧路	48	4	53
2021	7	北海道	北見	17	1	17
2021	7	北海道	計	708	14	817
2021	7	東北	青森	202	3	242
2021	7	東北	岩手	102	3	119
2021	7	東北	宮城	362	6	447
2021	7	東北	秋田	82	2	93
2021	7	東北	山形	222	0	262
2021	7	東北	福島	235	4	278
2021	7	東北	計	1205	18	1441
2021	7	東京	計	2373	11	2638
2021	7	関東	茨城	437	4	508
2021	7	関東	栃木	335	5	406
2021	7	関東	群馬	841	3	1028
2021	7	関東	埼玉	1360	9	1627
2021	7	関東	千葉	1053	9	1266
2021	7	関東	神奈川	1770	18	2074
2021	7	関東	新潟	228	4	255
2021	7	関東	山梨	180	6	225
2021	7	関東	長野	368	6	442
2021	7	関東	静岡	1609	4	2045
2021	7	関東	計	8181	68	9876
2021	7	中部	富山	145	2	164
2021	7	中部	石川	158	2	178
2021	7	中部	福井	58	1	71
2021	7	中部	岐阜	257	7	328
2021	7	中部	愛知	1996	13	2400
2021	7	中部	三重	210	3	260
2021	7	中部	計	2824	28	3401
2021	7	近畿	滋賀	202	3	257
2021	7	近畿	京都	304	5	345
2021	7	近畿	大阪	2090	13	2403
2021	7	近畿	兵庫	1509	12	1768
2021	7	近畿	奈良	233	4	290
2021	7	近畿	和歌山	106	5	131
